Employee Number,Attrition,Business Travel,Age Group,Department,Education Field,Employee Count,Gender,Job Role,Marital Status,Over Time,Age,Distance From Home,Education,Environment Satisfaction,Job Level,Job Satisfaction,Monthly Income,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
361,No,Travel_Rarely,Over 55,R&D,Medical,1,Male,Healthcare Representative,Married,No,57,1,Master's Degree,4,2,3,6755,15,3,3,2,1,2
362,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Laboratory Technician,Married,Yes,40,10,Master's Degree,4,1,3,2213,10,3,7,7,1,7
363,No,Non-Travel,Under 25,Sales,Medical,1,Male,Sales Representative,Single,No,21,9,Associates Degree,1,1,4,2610,3,2,3,2,2,2
364,Yes,Travel_Rarely,25 - 34,Sales,Marketing,1,Female,Sales Representative,Single,Yes,33,5,Bachelor's Degree,4,1,3,2851,1,3,1,0,0,0
365,No,Travel_Rarely,35 - 44,R&D,Medical,1,Female,Laboratory Technician,Married,No,37,10,Bachelor's Degree,3,1,1,3452,17,3,5,4,0,3
366,No,Non-Travel,45 - 54,R&D,Medical,1,Female,Manufacturing Director,Married,No,46,7,Master's Degree,3,2,3,5258,7,4,1,0,0,0
367,Yes,Travel_Frequently,35 - 44,Sales,Marketing,1,Male,Sales Executive,Single,No,41,4,Bachelor's Degree,1,2,2,9355,8,3,8,7,7,7
368,No,Travel_Rarely,45 - 54,R&D,Technical Degree,1,Male,Healthcare Representative,Single,No,50,10,Bachelor's Degree,4,3,4,10496,20,3,4,3,1,3
369,Yes,Travel_Rarely,35 - 44,Sales,Marketing,1,Male,Sales Executive,Married,Yes,40,22,Associates Degree,3,2,3,6380,8,3,6,4,1,0
370,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Single,Yes,31,9,Master's Degree,3,1,2,2657,3,3,2,2,2,2
371,Yes,Travel_Rarely,Under 25,Sales,Life Sciences,1,Female,Sales Representative,Single,No,21,12,Bachelor's Degree,3,1,2,2716,1,3,1,0,0,0
372,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Single,No,29,23,Bachelor's Degree,4,1,4,2201,6,3,3,2,1,2
373,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Healthcare Representative,Single,No,35,9,Master's Degree,3,2,2,6540,10,3,1,1,0,0
374,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Laboratory Technician,Divorced,No,27,1,Associates Degree,4,1,2,3816,5,3,5,2,0,4
375,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Male,Sales Executive,Single,No,28,9,Master's Degree,2,2,4,5253,7,3,7,5,0,7
376,No,Travel_Rarely,45 - 54,R&D,Other,1,Male,Healthcare Representative,Single,No,49,7,Bachelor's Degree,2,3,3,10965,26,3,5,2,0,0
377,No,Travel_Rarely,45 - 54,Sales,Life Sciences,1,Female,Sales Executive,Married,No,51,14,Associates Degree,3,2,4,4936,18,2,7,7,0,7
378,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Research Scientist,Married,No,36,2,Bachelor's Degree,4,1,3,2543,6,3,2,2,2,2
379,Yes,Non-Travel,25 - 34,Sales,Marketing,1,Male,Sales Executive,Single,Yes,34,19,Bachelor's Degree,1,2,4,5304,9,2,5,2,0,4
380,No,Travel_Rarely,Over 55,R&D,Life Sciences,1,Female,Manager,Single,Yes,55,2,Bachelor's Degree,3,4,4,16659,30,3,5,4,1,2
381,No,Travel_Rarely,Under 25,Sales,Marketing,1,Female,Sales Executive,Divorced,Yes,24,10,Master's Degree,4,2,3,4260,5,4,5,2,0,3
382,No,Travel_Rarely,25 - 34,Sales,Technical Degree,1,Male,Sales Representative,Married,No,30,2,High School,3,1,2,2476,1,3,1,0,0,0
383,Yes,Travel_Frequently,25 - 34,R&D,Technical Degree,1,Male,Research Scientist,Single,No,26,3,High School,3,1,1,3102,7,3,6,4,0,4
384,No,Travel_Rarely,Under 25,R&D,Medical,1,Female,Research Scientist,Married,No,22,11,Bachelor's Degree,1,1,2,2244,2,3,2,1,1,2
385,No,Travel_Rarely,35 - 44,Sales,Medical,1,Male,Sales Executive,Married,No,36,2,Associates Degree,2,3,3,7596,10,3,10,9,9,0
386,Yes,Travel_Frequently,25 - 34,R&D,Technical Degree,1,Male,Research Scientist,Single,Yes,30,4,Bachelor's Degree,3,1,4,2285,3,3,1,0,0,0
387,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Laboratory Technician,Divorced,No,37,14,Bachelor's Degree,4,1,1,3034,18,2,18,7,12,17
388,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Female,Sales Executive,Divorced,No,40,2,Associates Degree,4,2,2,5715,8,3,5,4,1,3
389,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Laboratory Technician,Divorced,No,42,1,Master's Degree,2,1,1,2576,8,3,5,2,1,2
390,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Manufacturing Director,Single,Yes,37,10,Master's Degree,3,2,2,4197,18,2,1,0,0,1
391,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Research Director,Divorced,No,43,12,Bachelor's Degree,1,4,2,14336,25,3,25,10,3,9
392,No,Travel_Rarely,35 - 44,R&D,Medical,1,Female,Laboratory Technician,Married,No,40,2,Bachelor's Degree,2,2,3,3448,20,3,1,0,0,0
393,No,Travel_Rarely,45 - 54,R&D,Medical,1,Male,Research Director,Married,No,54,5,Associates Degree,1,5,1,19406,24,2,4,2,1,2
394,No,Non-Travel,25 - 34,Sales,Marketing,1,Female,Sales Executive,Married,No,34,4,Master's Degree,3,2,3,6538,6,3,3,2,1,2
395,No,Travel_Rarely,25 - 34,R&D,Medical,1,Female,Manufacturing Director,Married,No,31,7,Associates Degree,2,2,1,4306,13,1,13,10,3,12
396,No,Travel_Frequently,35 - 44,R&D,Medical,1,Male,Laboratory Technician,Married,No,43,21,Bachelor's Degree,4,1,4,2258,8,3,3,2,1,2
397,No,Travel_Rarely,35 - 44,R&D,Other,1,Female,Healthcare Representative,Divorced,Yes,43,8,Master's Degree,3,2,3,4522,8,3,5,2,0,2
398,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Female,Sales Executive,Single,Yes,25,4,Associates Degree,2,2,4,4487,5,3,5,4,1,3
399,No,Non-Travel,35 - 44,R&D,Medical,1,Female,Research Scientist,Married,Yes,37,25,Doctoral Degree,2,2,3,4449,15,3,13,11,10,7
400,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Laboratory Technician,Married,No,31,1,Associates Degree,4,1,1,2218,4,3,4,2,3,2
401,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1,Male,Manager,Divorced,Yes,39,1,High School,2,5,3,19197,21,3,21,8,1,6
402,No,Travel_Frequently,Over 55,Sales,Life Sciences,1,Female,Sales Executive,Married,No,56,6,Bachelor's Degree,3,4,1,13212,36,2,7,7,7,7
403,No,Travel_Rarely,25 - 34,Sales,Technical Degree,1,Female,Sales Executive,Single,No,30,12,Bachelor's Degree,2,2,3,6577,6,3,5,4,4,4
404,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Male,Sales Executive,Married,No,41,1,Bachelor's Degree,2,3,1,8392,10,3,10,7,0,7
405,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Laboratory Technician,Divorced,No,28,17,Associates Degree,3,2,1,4558,10,3,10,0,1,8
406,Yes,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Laboratory Technician,Married,No,25,3,Bachelor's Degree,1,1,1,4031,6,3,2,2,0,2
407,No,Travel_Rarely,45 - 54,R&D,Medical,1,Male,Manufacturing Director,Married,Yes,52,3,Bachelor's Degree,4,3,3,7969,28,3,5,4,0,4
408,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Male,Research Scientist,Married,No,45,10,Associates Degree,1,1,4,2654,8,2,2,2,0,2
409,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Female,Manager,Married,No,52,4,Associates Degree,4,4,4,16555,31,1,5,2,1,4
410,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1,Female,Research Scientist,Divorced,No,42,29,Associates Degree,1,2,3,4556,19,3,5,4,0,2
411,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Manufacturing Director,Single,No,30,2,Bachelor's Degree,3,2,4,6091,11,3,5,4,0,2
412,No,Travel_Rarely,Over 55,R&D,Life Sciences,1,Female,Manager,Married,No,60,7,Bachelor's Degree,1,5,1,19566,33,1,29,8,11,10
413,No,Travel_Rarely,45 - 54,R&D,Medical,1,Female,Manufacturing Director,Divorced,No,46,18,Bachelor's Degree,3,2,3,4810,19,2,10,7,0,8
414,No,Travel_Frequently,35 - 44,R&D,Technical Degree,1,Female,Healthcare Representative,Married,No,42,28,Master's Degree,4,2,4,4523,7,4,6,5,0,4
415,Yes,Travel_Rarely,Under 25,Sales,Technical Degree,1,Female,Sales Representative,Single,Yes,24,1,High School,1,1,2,3202,6,3,5,3,1,4
416,Yes,Travel_Frequently,25 - 34,Sales,Marketing,1,Female,Sales Representative,Divorced,No,34,6,Associates Degree,4,1,3,2351,3,2,2,2,1,0
417,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1,Male,Laboratory Technician,Married,Yes,38,2,Associates Degree,4,1,4,1702,1,3,1,0,0,0
418,No,Travel_Rarely,35 - 44,Sales,Life Sciences,1,Female,Manager,Married,No,40,2,Master's Degree,3,5,3,18041,21,3,20,15,1,12
419,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Research Scientist,Divorced,No,26,23,Bachelor's Degree,1,1,4,2886,3,1,3,2,0,2
420,No,Non-Travel,25 - 34,R&D,Life Sciences,1,Male,Laboratory Technician,Married,No,30,3,Bachelor's Degree,3,1,4,2097,9,1,5,3,1,4
421,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Research Director,Married,No,29,3,Master's Degree,2,3,3,11935,10,3,10,2,0,7
422,Yes,Travel_Rarely,25 - 34,R&D,Technical Degree,1,Female,Research Scientist,Married,No,29,25,Doctoral Degree,3,1,2,2546,6,4,2,2,1,1
423,Yes,Travel_Rarely,Under 25,HR,Technical Degree,1,Male,Human Resources,Single,No,19,2,Associates Degree,1,1,4,2564,1,4,1,0,0,0
424,No,Non-Travel,25 - 34,Sales,Other,1,Female,Sales Executive,Married,No,30,22,Master's Degree,3,3,1,8412,10,3,9,8,7,8
425,No,Travel_Rarely,Over 55,Sales,Marketing,1,Male,Manager,Divorced,No,57,29,Bachelor's Degree,1,4,4,14118,32,2,1,0,0,0
426,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Male,Manager,Married,No,50,29,Master's Degree,2,4,3,17046,28,3,27,10,15,7
427,No,Non-Travel,25 - 34,R&D,Medical,1,Female,Laboratory Technician,Single,No,30,2,Bachelor's Degree,3,1,4,2564,12,2,11,7,6,7
428,No,Travel_Frequently,Over 55,Sales,Marketing,1,Female,Sales Executive,Married,No,60,28,Bachelor's Degree,3,3,1,10266,22,4,18,13,13,11
429,No,Travel_Rarely,45 - 54,R&D,Medical,1,Female,Manufacturing Director,Divorced,No,47,2,Associates Degree,1,2,4,5070,20,3,5,0,0,4
430,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Male,Research Director,Married,No,46,2,Bachelor's Degree,1,4,3,17861,26,1,3,2,0,1
431,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Laboratory Technician,Single,No,35,22,Bachelor's Degree,4,1,3,4230,6,3,5,4,4,3
432,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Female,Laboratory Technician,Single,No,54,8,Master's Degree,3,2,3,3780,19,3,1,0,0,0
433,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Divorced,No,34,2,Master's Degree,4,1,3,2768,14,3,7,3,5,7
434,No,Travel_Rarely,45 - 54,Sales,Marketing,1,Female,Sales Executive,Married,Yes,46,10,Bachelor's Degree,3,3,4,9071,15,3,3,2,1,2
435,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Manufacturing Director,Divorced,No,31,9,High School,3,3,2,10648,13,4,13,8,0,8
436,Yes,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Manager,Married,Yes,33,15,High School,2,3,3,13610,15,4,7,6,7,7
437,Yes,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Laboratory Technician,Divorced,No,33,10,High School,1,1,4,3408,8,3,4,3,1,3
438,No,Travel_Rarely,25 - 34,Sales,Marketing,1,Male,Sales Representative,Single,No,30,7,High School,4,1,2,2983,4,3,3,2,1,2
439,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Healthcare Representative,Married,Yes,35,16,Bachelor's Degree,4,3,3,7632,10,3,8,7,0,0
440,Yes,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Male,Healthcare Representative,Married,No,31,20,Bachelor's Degree,1,3,3,9824,12,3,1,0,0,0
441,Yes,Travel_Frequently,25 - 34,HR,Human Resources,1,Female,Human Resources,Divorced,Yes,34,23,Bachelor's Degree,2,3,1,9950,11,3,3,2,0,2
442,No,Travel_Frequently,35 - 44,R&D,Other,1,Male,Laboratory Technician,Married,No,42,5,Associates Degree,2,1,3,2093,8,3,2,2,2,0
443,No,Non-Travel,35 - 44,Sales,Medical,1,Male,Sales Executive,Single,No,36,10,Master's Degree,2,3,4,9980,10,2,10,3,9,7
444,Yes,Travel_Frequently,Under 25,R&D,Technical Degree,1,Male,Laboratory Technician,Single,No,22,4,High School,3,1,3,3894,4,3,2,2,1,2
445,No,Travel_Rarely,45 - 54,Sales,Marketing,1,Female,Sales Executive,Married,No,48,2,Doctoral Degree,2,2,4,4051,14,3,9,7,6,7
446,No,Travel_Rarely,Over 55,Sales,Life Sciences,1,Female,Manager,Single,No,55,18,Doctoral Degree,1,4,2,16835,37,3,10,9,7,7
447,No,Non-Travel,35 - 44,Sales,Life Sciences,1,Male,Sales Executive,Single,No,41,10,Associates Degree,4,2,4,6230,16,3,14,3,1,10
448,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Male,Sales Executive,Married,No,35,1,Bachelor's Degree,2,2,3,4717,15,3,11,9,6,9
449,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Manufacturing Director,Single,No,40,6,Bachelor's Degree,2,4,3,13237,22,3,20,6,5,13
450,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1,Female,Laboratory Technician,Married,No,39,8,High School,3,1,3,3755,8,3,8,3,0,7
451,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Male,Sales Executive,Single,Yes,31,2,High School,2,2,4,6582,10,4,6,5,0,5
452,No,Travel_Rarely,35 - 44,R&D,Medical,1,Male,Manufacturing Director,Married,Yes,42,24,Bachelor's Degree,4,3,1,7406,10,2,10,9,5,8
453,No,Travel_Rarely,45 - 54,Sales,Other,1,Male,Sales Executive,Married,No,45,2,Bachelor's Degree,4,2,2,4805,9,4,8,7,3,7
454,Yes,Travel_Frequently,25 - 34,HR,Life Sciences,1,Female,Human Resources,Divorced,Yes,26,17,Master's Degree,2,1,3,2741,8,2,7,7,1,0
455,No,Travel_Rarely,25 - 34,R&D,Technical Degree,1,Male,Manufacturing Director,Divorced,No,29,19,Bachelor's Degree,4,2,4,4262,8,4,3,2,1,2
456,No,Travel_Rarely,25 - 34,R&D,Medical,1,Female,Research Director,Divorced,No,33,1,Doctoral Degree,1,4,3,16184,10,3,6,1,0,5
457,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Male,Manager,Divorced,No,31,7,Bachelor's Degree,3,3,4,11557,10,2,5,4,0,1
458,Yes,Travel_Frequently,Under 25,Sales,Marketing,1,Male,Sales Representative,Single,Yes,18,5,Bachelor's Degree,2,1,2,1878,0,3,0,0,0,0
459,No,Non-Travel,35 - 44,Sales,Other,1,Male,Sales Executive,Divorced,No,40,28,Bachelor's Degree,3,3,1,10932,20,3,1,0,0,1
460,No,Non-Travel,35 - 44,R&D,Other,1,Female,Healthcare Representative,Single,Yes,41,2,Master's Degree,1,2,3,6811,10,3,8,7,0,7
461,No,Travel_Rarely,25 - 34,Sales,Medical,1,Male,Sales Executive,Divorced,No,26,29,Associates Degree,1,2,3,4306,8,3,0,0,0,0
462,No,Travel_Rarely,35 - 44,Sales,Medical,1,Female,Sales Executive,Single,No,35,1,Bachelor's Degree,1,2,3,4859,5,3,5,4,0,3
463,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Male,Sales Executive,Single,No,34,21,Master's Degree,4,2,4,5337,10,3,10,7,5,7
464,Yes,Travel_Rarely,25 - 34,R&D,Technical Degree,1,Male,Laboratory Technician,Single,Yes,26,24,Bachelor's Degree,3,1,4,2340,1,1,1,0,0,0
465,No,Travel_Rarely,35 - 44,R&D,Technical Degree,1,Female,Manufacturing Director,Single,No,37,1,Bachelor's Degree,2,3,4,7491,12,4,6,5,1,2
466,No,Travel_Frequently,45 - 54,R&D,Medical,1,Female,Healthcare Representative,Married,No,46,18,High School,1,3,3,10527,28,2,2,2,1,2
467,No,Travel_Rarely,35 - 44,Sales,Life Sciences,1,Female,Manager,Married,No,41,2,Doctoral Degree,2,4,1,16595,22,3,18,16,11,8
468,No,Non-Travel,35 - 44,Sales,Medical,1,Male,Sales Executive,Divorced,No,37,9,Master's Degree,1,3,2,8834,9,3,9,5,7,7
469,No,Travel_Rarely,45 - 54,R&D,Technical Degree,1,Male,Research Scientist,Divorced,Yes,52,6,Associates Degree,4,2,1,5577,18,3,10,9,6,9
470,Yes,Non-Travel,25 - 34,Sales,Other,1,Male,Sales Executive,Married,No,32,11,Master's Degree,4,2,3,4707,6,3,4,2,1,2
471,No,Travel_Frequently,Under 25,Sales,Medical,1,Male,Sales Representative,Married,No,24,24,Bachelor's Degree,4,1,4,2400,3,3,2,2,2,1
472,No,Travel_Rarely,35 - 44,R&D,Medical,1,Female,Healthcare Representative,Married,No,38,10,Bachelor's Degree,3,2,3,9824,18,3,1,0,0,0
473,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Manufacturing Director,Married,No,37,1,Master's Degree,2,2,2,6447,8,2,6,5,4,3
474,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Male,Research Director,Divorced,Yes,49,18,Master's Degree,4,5,3,19502,31,3,31,9,0,9
475,No,Travel_Rarely,Under 25,R&D,Medical,1,Male,Research Scientist,Married,Yes,24,23,Bachelor's Degree,2,1,4,2725,6,3,6,5,1,4
476,No,Travel_Rarely,25 - 34,Sales,Marketing,1,Male,Sales Executive,Married,No,26,28,Associates Degree,1,2,2,6272,6,4,5,3,1,4
477,No,Travel_Rarely,Under 25,R&D,Other,1,Male,Laboratory Technician,Married,No,24,17,Associates Degree,4,1,2,2127,1,3,1,0,0,0
478,No,Travel_Frequently,45 - 54,HR,Medical,1,Male,Manager,Married,No,50,3,Bachelor's Degree,1,5,2,18200,32,3,32,5,10,7
479,No,Travel_Rarely,25 - 34,Sales,Medical,1,Male,Sales Representative,Married,No,25,13,High School,2,1,3,2096,7,3,7,4,0,6
480,Yes,Travel_Frequently,Under 25,R&D,Life Sciences,1,Female,Laboratory Technician,Married,Yes,24,7,Bachelor's Degree,1,1,3,2886,6,3,6,3,1,2
481,Yes,Travel_Frequently,25 - 34,Sales,Life Sciences,1,Male,Sales Representative,Married,No,30,12,Master's Degree,2,1,1,2033,1,4,1,0,0,0
482,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Married,Yes,34,1,Associates Degree,2,1,4,3622,6,3,6,5,1,3
483,Yes,Travel_Rarely,25 - 34,Sales,Medical,1,Male,Sales Executive,Divorced,No,31,13,Master's Degree,2,2,1,4233,9,1,3,1,1,2
484,No,Travel_Rarely,35 - 44,R&D,Other,1,Male,Laboratory Technician,Single,No,35,25,Associates Degree,1,2,4,3681,9,3,3,2,0,2
485,No,Travel_Rarely,25 - 34,Sales,Medical,1,Male,Sales Executive,Divorced,No,31,6,Master's Degree,1,2,4,5460,13,4,7,7,5,7
486,No,Travel_Rarely,25 - 34,R&D,Medical,1,Female,Research Scientist,Divorced,No,27,6,Master's Degree,1,1,3,2187,6,2,5,3,0,3
487,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Male,Sales Executive,Married,Yes,37,2,Bachelor's Degree,4,2,3,9602,17,2,3,0,1,0
488,No,Travel_Rarely,Under 25,R&D,Life Sciences,1,Female,Research Scientist,Single,No,20,1,Bachelor's Degree,4,1,2,2836,1,4,1,0,0,0
489,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Healthcare Representative,Married,No,42,2,Master's Degree,3,2,4,4089,10,3,10,2,2,2
490,No,Travel_Rarely,35 - 44,R&D,Other,1,Male,Research Director,Divorced,Yes,43,6,Master's Degree,2,4,4,16627,21,2,1,0,0,0
491,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Research Scientist,Single,No,38,1,High School,3,1,1,2619,8,2,0,0,0,0
492,No,Travel_Frequently,35 - 44,R&D,Medical,1,Male,Laboratory Technician,Divorced,Yes,43,9,Doctoral Degree,4,2,3,5679,10,3,8,7,4,7
493,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1,Female,Manager,Married,No,48,1,Master's Degree,4,4,1,15402,21,1,3,2,0,2
494,No,Travel_Rarely,35 - 44,HR,Life Sciences,1,Female,Human Resources,Single,No,44,1,Master's Degree,1,2,3,5985,10,4,2,2,0,2
495,No,Travel_Rarely,25 - 34,Sales,Technical Degree,1,Female,Sales Representative,Divorced,Yes,34,14,Bachelor's Degree,3,1,3,2579,8,3,8,2,0,6
496,Yes,Travel_Rarely,25 - 34,Sales,Marketing,1,Male,Sales Representative,Divorced,No,27,2,High School,3,1,1,3041,5,3,4,3,0,2
497,No,Travel_Rarely,Under 25,Sales,Technical Degree,1,Male,Sales Representative,Single,No,21,22,High School,3,1,3,3447,3,3,3,2,1,2
498,No,Travel_Rarely,35 - 44,R&D,Other,1,Male,Manager,Married,Yes,44,3,Master's Degree,4,5,4,19513,26,4,2,2,0,1
499,No,Travel_Rarely,Under 25,R&D,Medical,1,Male,Research Scientist,Married,No,22,6,High School,1,1,3,2773,3,3,2,2,2,2
500,No,Travel_Rarely,25 - 34,Sales,Marketing,1,Male,Sales Executive,Divorced,No,33,8,Master's Degree,3,2,3,7104,6,3,5,0,1,2
501,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Research Scientist,Married,Yes,32,9,Master's Degree,1,2,4,6322,6,2,6,4,0,5
502,No,Travel_Frequently,25 - 34,R&D,Medical,1,Female,Research Scientist,Divorced,No,30,3,Bachelor's Degree,3,1,3,2083,1,3,1,0,0,0
503,No,Travel_Rarely,45 - 54,Sales,Medical,1,Female,Sales Executive,Single,No,53,1,High School,4,2,1,8381,18,4,14,7,8,10
504,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Married,No,34,1,Doctoral Degree,2,1,4,2691,10,2,10,9,8,8
505,Yes,Travel_Frequently,45 - 54,Sales,Life Sciences,1,Female,Sales Executive,Married,No,45,26,Master's Degree,1,2,1,4286,5,3,1,1,0,0
506,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Laboratory Technician,Married,Yes,26,6,Bachelor's Degree,3,1,4,2659,3,3,3,2,0,2
507,No,Travel_Rarely,35 - 44,R&D,Other,1,Male,Manufacturing Director,Married,No,37,3,Bachelor's Degree,3,3,3,9434,10,3,10,7,7,8
508,No,Travel_Rarely,25 - 34,Sales,Medical,1,Female,Sales Executive,Married,No,29,3,Associates Degree,2,2,3,5561,6,2,6,0,1,2
509,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Research Scientist,Single,No,35,6,Master's Degree,2,2,4,6646,17,3,17,11,11,8
510,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Male,Healthcare Representative,Divorced,No,33,6,Bachelor's Degree,3,2,4,7725,15,1,13,11,4,7
511,No,Travel_Rarely,45 - 54,HR,Medical,1,Male,Human Resources,Married,No,54,19,Master's Degree,3,3,2,10725,16,4,9,7,7,1
512,No,Travel_Rarely,35 - 44,R&D,Medical,1,Male,Manufacturing Director,Divorced,Yes,36,9,Associates Degree,2,2,2,8847,13,3,3,2,0,2
513,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Research Scientist,Single,No,27,3,Master's Degree,1,1,4,2045,5,3,4,2,1,1
514,Yes,Travel_Rarely,Under 25,R&D,Medical,1,Male,Research Scientist,Single,Yes,20,10,High School,4,1,3,1009,1,3,1,0,1,1
515,Yes,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Single,Yes,33,3,Bachelor's Degree,1,1,1,3348,10,3,10,8,9,7
516,No,Non-Travel,35 - 44,R&D,Life Sciences,1,Male,Laboratory Technician,Married,No,35,3,Bachelor's Degree,3,1,3,1281,1,3,1,0,0,0
517,No,Travel_Rarely,Under 25,R&D,Medical,1,Male,Research Scientist,Married,No,23,4,Bachelor's Degree,1,1,1,2819,5,4,3,2,0,2
518,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1,Male,Sales Executive,Married,No,25,8,Bachelor's Degree,4,2,2,4851,4,3,3,2,1,2
519,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Female,Sales Executive,Single,No,38,7,Master's Degree,4,2,4,4028,8,3,7,7,0,5
520,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Divorced,No,29,1,Master's Degree,2,1,4,2720,10,3,10,7,2,8
521,No,Travel_Rarely,45 - 54,Sales,Marketing,1,Male,Sales Executive,Married,No,48,2,High School,2,2,2,8120,12,3,2,2,2,2
522,No,Travel_Frequently,25 - 34,Sales,Medical,1,Female,Sales Executive,Divorced,Yes,27,3,High School,4,2,4,4647,6,3,6,5,0,4
523,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Research Scientist,Single,No,37,10,Associates Degree,4,1,4,4680,4,3,1,0,0,0
524,No,Travel_Rarely,45 - 54,R&D,Medical,1,Male,Laboratory Technician,Married,Yes,50,28,High School,4,1,3,3221,20,3,20,8,3,8
525,No,Travel_Rarely,25 - 34,R&D,Medical,1,Female,Healthcare Representative,Single,No,34,9,Bachelor's Degree,4,3,2,8621,9,4,8,7,7,7
526,Yes,Travel_Rarely,Under 25,Sales,Life Sciences,1,Female,Sales Executive,Single,No,24,3,Associates Degree,1,2,3,4577,4,3,2,2,2,0
527,No,Travel_Rarely,35 - 44,R&D,Technical Degree,1,Female,Healthcare Representative,Single,No,39,2,Master's Degree,4,2,3,4553,20,3,20,7,11,10
528,No,Travel_Rarely,25 - 34,Sales,Marketing,1,Male,Sales Executive,Single,No,32,10,Bachelor's Degree,4,2,4,5396,10,2,10,7,0,8
529,Yes,Travel_Frequently,45 - 54,Sales,Technical Degree,1,Male,Sales Executive,Married,Yes,50,8,Associates Degree,2,2,3,6796,18,3,4,3,1,3
530,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Female,Healthcare Representative,Single,No,38,1,Master's Degree,2,2,4,7625,10,2,9,7,1,8
531,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Manufacturing Director,Married,No,27,1,Associates Degree,3,3,1,7412,9,3,9,7,0,7
532,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Research Director,Single,No,32,3,Associates Degree,3,3,4,11159,10,3,7,7,7,7
533,No,Travel_Rarely,45 - 54,Sales,Marketing,1,Male,Sales Executive,Single,No,47,14,Master's Degree,4,2,1,4960,20,3,7,7,1,7
534,No,Travel_Frequently,35 - 44,Sales,Life Sciences,1,Male,Sales Executive,Married,Yes,40,5,Master's Degree,4,3,1,10475,20,3,18,13,1,12
